i j t
151 280 0
160 63 0
160 103 0
160 249 0
160 159 0
160 60 0
160 317 0
160 63 0
160 249 0
160 249 0
160 249 0
249 160 0
120 78 0
184 267 0
184 267 0
310 184 0
38 231 0
184 295 0
132 284 0
283 79 0
160 317 0
160 60 0
160 249 0
160 103 0
230 264 0
230 23 0
230 281 0
230 82 0
230 33 0
230 183 0
230 88 0
230 274 0
230 169 0
79 283 0
230 150 0
90 99 0
306 230 0
90 281 0
262 74 0
160 249 0
160 249 0
160 249 0
160 63 0
249 160 0
230 74 0
283 79 0
79 283 0
21 145 0
132 85 0
132 218 0
132 314 0
132 17 0
132 161 0
132 145 0
132 267 0
132 79 0
132 120 0
132 295 0
132 310 0
184 240 0
184 161 0
184 79 0
184 267 0
78 238 0
161 112 0
161 184 0
112 161 0
161 78 0
132 283 0
230 143 0
132 284 0
132 3 0
112 161 0
132 240 0
132 6 0
132 184 0
132 238 0
132 71 0
132 261 0
132 112 0
132 38 0
132 50 0
132 203 0
132 16 0
132 110 0
132 2 0
132 257 0
132 133 0
132 134 0
132 78 0
132 266 0
132 27 0
132 311 0
230 32 0
230 90 0
230 15 0
299 101 0
299 279 0
299 304 0
279 117 0
299 108 0
83 52 0
83 158 0
108 252 0
158 162 0
299 108 0
158 83 0
158 202 0
158 101 0
158 45 0
158 315 0
7 279 0
242 173 0
0 106 0
88 82 0
269 300 0
158 25 0
269 33 0
299 301 0
299 83 0
273 276 0
273 233 0
273 233 0
83 228 0
279 7 0
7 144 0
279 118 0
279 118 0
279 118 0
299 252 0
279 118 0
279 118 0
279 118 0
279 118 0
279 118 0
279 118 0
253 271 0
279 118 0
299 118 0
299 228 0
279 118 0
78 161 0
269 75 0
269 93 0
90 186 0
90 48 0
90 88 0
90 99 0
90 97 0
90 274 0
90 150 0
90 93 0
90 230 0
90 75 0
90 258 0
90 167 0
90 77 0
262 74 0
230 306 0
230 59 0
230 97 0
90 150 0
33 230 0
97 230 0
90 74 0
269 274 0
90 183 0
90 33 0
269 230 0
306 90 0
306 59 0
306 97 0
306 230 0
88 258 0
230 33 0
90 15 0
90 220 0
90 98 0
90 300 0
90 143 0
90 43 0
90 264 0
90 199 0
90 23 0
90 281 0
90 262 0
90 82 0
90 39 0
90 306 0
161 78 0
80 291 0
26 127 0
26 298 0
26 307 0
26 53 0
26 191 0
26 30 0
26 64 0
26 121 0
26 18 0
26 9 0
26 208 0
26 225 0
26 152 0
26 4 0
26 81 0
26 285 0
26 280 0
26 69 0
18 28 0
26 225 0
26 180 0
26 285 0
26 12 0
26 298 0
26 307 0
26 53 0
28 285 0
69 223 0
176 225 0
26 191 0
26 30 0
