affy	entrez	Species	Gene Name
1429940_at	214498	Mus musculus	cell division cycle 73, Paf1/RNA polymerase II complex component(Cdc73)
1419103_a_at	66082	Mus musculus	abhydrolase domain containing 6(Abhd6)
1426795_at	19280	Mus musculus	protein tyrosine phosphatase, receptor type, S(Ptprs)
1452230_at	66861	Mus musculus	DnaJ heat shock protein family (Hsp40) member C10(Dnajc10)
1425697_at	66244	Mus musculus	nuclear export mediator factor(Nemf)
1431196_at	235574	Mus musculus	ATPase, Ca++-sequestering(Atp2c1)
1449742_at	103067	Mus musculus	expressed sequence AA522020(AA522020)
1430973_at	72230	Mus musculus	zinc finger protein 558(Zfp558)
1417929_at	50934	Mus musculus	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8(Slc7a8)
1451466_at	67102	Mus musculus	DNA segment, Chr 16, ERATO Doi 472, expressed(D16Ertd472e)
1442251_at	70675	Mus musculus	valosin containing protein (p97)/p47 complex interacting protein 1(Vcpip1)
1426414_a_at	19823	Mus musculus	ring finger protein 7(Rnf7)
1429008_at	67490	Mus musculus	UFM1 specific ligase 1(Ufl1)
1426611_at	19181	Mus musculus	proteasome (prosome, macropain) 26S subunit, ATPase 2(Psmc2)
1438069_a_at	83486	Mus musculus	RNA binding motif protein 5(Rbm5)
1448720_at	67144	Mus musculus	leucine rich repeat containing 40(Lrrc40)
1453070_at	219228	Mus musculus	protocadherin 17(Pcdh17)
1420430_a_at	67119	Mus musculus	coiled-coil domain containing 159(Ccdc159)
1416611_at	24044	Mus musculus	secretory carrier membrane protein 2(Scamp2)
1448344_at	100038969	Mus musculus	ribosomal protein S12, pseudogene 18(Rps12-ps18)
1431619_a_at	94245	Mus musculus	dystrobrevin binding protein 1(Dtnbp1)
1450074_at	16569	Mus musculus	kinesin family member 3B(Kif3b)
1448634_at	19765	Mus musculus	ralA binding protein 1(Ralbp1)
1421273_at	67296	Mus musculus	suppressor of cytokine signaling 4(Socs4)
1442724_at	13386	Mus musculus	delta-like 1 homolog (Drosophila)(Dlk1)
1442599_at	83704	Mus musculus	solute carrier family 12 (potassium/chloride transporters), member 9(Slc12a9)
1420717_at	68243	Mus musculus	RIKEN cDNA A930018P22 gene(A930018P22Rik)
1433272_at	77788	Mus musculus	RIKEN cDNA A430110A21 gene(A430110A21Rik)
1426160_a_at	20872	Mus musculus	serine/threonine kinase 16(Stk16)
1449874_at	17087	Mus musculus	lymphocyte antigen 96(Ly96)
1429486_at	18640	Mus musculus	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2(Pfkfb2)
1454546_at	71032	Mus musculus	RIKEN cDNA 4933403L11 gene(4933403L11Rik)
