	BMAL1 (ARNTL)	CLOCK	CRY1	DEC1 (BHLHB2)	NPAS2	RORC	PPP2R5E	PER2	PER1	PPP1CC	CSNK2A1	CSNK2A2	NR1D2	PPP2R1A	PPP2R1B	NONO	NFIL3	DBP	RORA	PER3	NR1D1	FBXL3
18	3154.0	1926.7499999999998	9772.3	11216.6	67.1	4516.450000000001	3419.85	1065.95	471.7	54278.4	6252.5	3032.3	6596.5	14505.8	4340.9	20898.9	4148.9	1630.15	13127.0	243.45	110.8	3423.9
19	4113.3	2102.3	11662.4	11929.4	85.8	2929.1	3204.6000000000004	461.65000000000003	492.9	61252.7	7051.3	3287.95	6255.450000000001	14977.1	4510.8	22457.0	4317.8	1311.3999999999999	15407.1	133.2	111.1	4354.0
20	3470.5	2541.725	10140.0	9554.4	72.6	3459.0	3206.35	299.2	474.7	54366.5	7095.8	2860.7	5244.35	14136.1	4147.8	22816.3	5089.7	1002.5	17246.7	131.15	111.0	4723.6
21	4860.3	2284.5	11540.6	11547.7	123.8	3779.3	3024.05	203.15	556.2	57736.1	6931.3	2939.7	4764.65	14304.6	5257.2	23380.9	4628.5	717.4	16926.2	125.15	120.7	4727.4
22	4246.7	2197.05	8737.1	9691.3	164.1	3478.8500000000004	2917.95	244.60000000000002	480.5	56913.5	7232.7	3642.95	3791.6000000000004	15795.0	4662.7	22843.0	5392.3	597.9	12613.5	105.75	118.3	4455.8
23	5206.7	2984.7749999999996	10106.8	14431.5	486.9	2063.1	3383.9	282.7	444.5	58923.6	7419.9	3535.7	2284.0	15786.6	4617.6	22486.7	4002.9	318.34999999999997	10714.3	75.44999999999999	120.6	3392.5
24	4209.0	3024.95	9035.8	5672.1	595.5	1742.45	3180.9	249.35	415.4	59187.3	6368.1	3360.5	1919.3	15970.3	4561.1	23141.1	5287.7	229.7	9554.9	81.45	110.3	3015.6
25	5264.8	2430.625	6777.9	2835.5	397.3	1329.4	3267.25	133.55	491.0	57633.5	6502.1	3181.7	1816.1	16661.7	4253.9	22286.2	5842.4	222.95	9867.4	79.35	121.7	3167.1
26	4122.4	2978.25	5963.3	3147.5	745.2	1311.25	3303.6499999999996	240.05	440.4	60570.6	7242.7	4396.75	6663.75	19033.9	4593.3	23954.9	8427.3	398.1	11076.3	71.35	429.5	4425.4
27	2453.7	2708.7250000000004	3174.0	5091.8	393.8	1185.9	2975.2	156.25	187.8	67760.8	7827.7	4785.55	13098.45	19664.4	5379.8	25399.6	4673.8	2185.9	8871.2	124.45	1279.1	3805.1
28	1978.9	2619.6	1526.2	3584.7	102.1	990.65	2505.75	128.7	290.3	66867.6	7752.4	3029.4	17023.25	14167.8	4327.4	25265.8	3035.2	4957.849999999999	10389.8	102.30000000000001	865.8	4587.2
29	1470.5	2087.425	1530.6	9486.8	70.1	1008.1500000000001	3111.25	153.5	463.8	64212.6	6491.4	3382.75	19971.3	17614.4	4744.0	24423.8	2380.1	11452.300000000001	9161.4	113.85	1875.2	4612.3
30	650.9	1640.375	1340.9	14185.1	73.2	1072.4	3499.65	200.7	486.4	65854.4	6105.0	3454.5	24834.25	16677.8	5145.6	22671.7	1407.3	31938.699999999997	9847.5	161.35	2352.8	5181.2
31	129.3	1516.8249999999998	1481.8	18930.7	70.4	877.1	3465.95	293.6	1020.9	70641.3	6870.9	4700.85	26677.15	16861.8	5181.5	24032.5	1107.1	60315.0	8408.1	1029.25	3360.5	4432.1
32	126.4	1232.85	1730.7	16924.5	67.3	985.75	3955.65	420.0	612.9	73776.2	6806.3	3936.15	33214.15	15424.0	4233.4	23495.1	1323.3	57775.8	9126.6	747.65	2512.3	4123.9
33	146.8	807.45	2087.7	22355.8	70.8	1146.65	4418.35	829.3	1182.0	74612.0	6907.7	4420.150000000001	33684.450000000004	14998.8	3939.8	23038.7	1226.2	73991.4	9113.4	1493.9499999999998	1036.9	4058.7
34	131.2	742.75	1820.0	14648.1	70.0	1035.95	4633.700000000001	516.4	818.1	76890.9	6328.6	3803.8	30297.75	18017.4	4256.7	22319.9	953.0	62825.399999999994	8240.8	516.4	921.2	3860.0
35	110.3	771.125	3193.9	22986.1	69.2	1459.45	4618.75	856.55	534.4	73685.3	6399.6	3815.2999999999997	23105.800000000003	17435.1	3560.7	21269.5	1465.5	48658.6	8423.6	376.04999999999995	313.9	3491.1
36	140.5	859.875	2658.8	18109.4	69.6	1348.15	4107.4	549.85	672.1	70999.7	5764.0	3317.65	24477.850000000002	15606.4	4004.8	20197.4	1496.6	41122.25	9118.7	381.65	369.1	3884.8
37	323.7	1008.35	5441.1	20263.4	69.8	1496.9	5248.35	999.9499999999999	885.5	72842.8	6256.3	3436.1000000000004	22816.95	15332.5	3492.7	21241.6	1713.8	27158.3	9867.6	346.65	157.4	3298.5
38	422.8	1255.9	5217.3	18742.4	68.8	1959.75	4198.25	1271.95	573.5	71362.9	5210.5	3508.2	17539.4	14462.0	3764.2	22560.2	1856.9	17611.05	7888.3	429.2	122.0	2728.3
39	1240.3	1441.625	6431.1	16074.0	70.7	2744.05	3666.8500000000004	1207.45	577.7	53064.1	5181.8	2985.4	12150.699999999999	13913.4	3746.1	21635.8	2336.7	8767.2	8075.0	337.5	222.4	3116.2
40	1555.1	1571.25	7102.9	21574.9	71.6	3153.8	3695.6	1171.3	495.0	55854.9	4471.8	3047.5	9841.800000000001	14465.3	4137.7	20689.2	2106.2	3992.05	8999.8	249.14999999999998	120.9	3158.6
41	2093.8	1639.95	8937.4	17005.0	73.6	2726.95	3751.85	712.9	506.7	51695.5	3087.8	2856.6499999999996	10343.1	14553.7	3377.1	19820.0	3123.6	3235.25	9345.0	193.7	122.4	3217.8
42	2637.4	1729.75	9548.7	13093.1	71.1	3842.3	3674.05	962.2	489.4	50716.8	6202.1	3003.7000000000003	8699.099999999999	14306.2	3649.3	22992.6	4720.3	2047.6	13677.9	130.2	120.3	3649.7
43	3298.6	1817.6	10807.0	9700.0	72.1	3467.8	3293.25	487.55	492.5	49272.2	5726.1	2624.35	7574.35	13318.5	3708.4	21412.8	5188.3	1488.85	13719.3	186.55	118.8	3795.9
44	3950.4	2547.85	10506.1	9159.3	70.2	3418.5	3105.8999999999996	392.0	483.0	52426.0	6657.2	2571.3	5737.549999999999	11215.8	3860.5	24611.8	3781.9	1149.95	15062.8	124.7	111.9	4322.7
45	4800.3	2368.775	11455.7	9272.8	91.0	2923.95	3423.8	279.1	475.5	53644.5	5567.7	3350.3	4430.2	13973.4	4607.7	22383.5	4533.8	643.8	13751.7	104.95	113.7	3895.9
46	3870.7	2636.225	7635.8	6239.0	112.5	2279.6000000000004	2430.85	140.1	495.0	58358.9	6626.5	2461.3500000000004	4827.0	11651.9	4242.1	23729.9	4235.8	563.6	13377.3	105.95	122.4	3989.2
47	5197.4	2483.8999999999996	8095.3	12184.5	476.5	1730.95	2994.9	143.15	471.0	59523.9	6079.6	3290.95	3157.3	13581.9	4756.7	21725.9	3308.4	191.25	10442.2	77.95	122.6	3270.9
48	4231.2	2662.8	7293.0	4801.7	360.3	1447.8	2966.8500000000004	138.7	482.9	51811.7	6159.9	2655.2	3199.0499999999997	13690.1	4693.1	23820.8	4601.9	251.6	9323.3	91.8	157.2	3365.7
49	5100.8	2503.625	5470.3	2618.2	442.0	1458.35	3163.85	135.45	490.8	52794.3	6223.6	3352.7	4799.55	15011.8	4707.6	23089.2	6800.1	239.10000000000002	11102.1	96.55	136.6	3622.0
50	4537.7	2842.225	5217.1	2942.7	283.5	1221.95	3335.6499999999996	196.9	456.4	56375.3	6185.4	3474.1499999999996	7059.55	14895.4	5302.6	24451.2	5993.9	480.5	11490.9	101.9	470.1	3530.9
51	4502.3	2445.375	3638.4	3689.2	238.9	1220.8	3260.45	133.7	377.7	54016.8	7215.9	3203.3999999999996	9744.25	15430.0	4682.1	25564.0	5049.3	819.4	11505.1	78.55000000000001	762.0	4690.1
52	3430.9	2319.325	2814.1	4612.1	104.6	958.6	3138.2	154.25	484.4	58007.7	6226.6	3497.0	11905.550000000001	18827.1	5245.4	26324.4	3943.6	2103.7	11273.6	96.45	1296.8	4559.7
53	319.0	1864.5500000000002	1560.1	18538.0	69.7	1082.25	3271.35	355.2	478.0	70673.2	7071.2	3471.25	29282.95	16059.6	4974.1	24340.7	1008.8	37656.45	9852.6	323.15	2147.2	4805.2
54	442.9	1780.6000000000001	818.3	12159.2	67.4	990.3000000000001	3019.6	187.5	450.8	63907.1	5838.3	3434.4	29480.4	15511.0	5145.2	26576.6	1868.9	29801.15	9957.9	199.45	2307.9	4736.2
55	1128.2	2159.475	1531.3	5751.0	72.1	984.4000000000001	3154.25	134.1	461.7	65678.9	6029.1	3233.3500000000004	22247.4	14275.2	5146.0	26538.0	2264.1	9428.9	9781.3	144.4	1260.6	4601.6
56	129.7	1305.95	1227.3	14768.9	70.0	1069.6	3980.45	398.1	856.5	70969.6	6336.9	3439.2999999999997	32491.45	14530.4	4380.8	23739.3	1091.8	57727.05	8921.1	689.55	1247.2	4750.5
57	186.3	938.625	1501.4	21700.1	72.9	1157.95	3932.8	684.35	1006.6	66396.3	5614.4	3429.35	31903.15	14961.4	4080.7	23004.7	785.6	55957.5	9149.5	618.9499999999999	508.1	3732.6
58	147.0	890.4250000000001	2308.7	16140.3	70.8	1137.3	4575.75	678.9499999999999	1166.5	63511.6	5767.0	3001.7	29275.35	14072.4	3593.2	23379.2	1332.2	53687.25	8981.2	739.4000000000001	430.6	3512.7
59	545.1	1078.3500000000001	1912.8	11233.1	72.2	1174.8	4281.0	591.05	1143.6	67268.7	6171.1	3426.1499999999996	29122.5	14290.8	3998.3	22953.1	1638.3	34471.65	9352.5	608.85	460.0	4254.6
60	185.1	1121.05	5114.4	9187.1	71.9	1465.0	4672.95	1304.6499999999999	969.0	72998.9	4567.0	3008.35	26924.050000000003	9575.8	2839.3	22067.3	1702.4	17091.05	8064.3	479.45	121.9	3793.5
61	285.4	1405.525	2241.4	7455.8	88.8	1158.0	3522.8	603.0	505.6	67948.5	6486.8	1886.0	20688.850000000002	4745.0	2511.0	24357.6	585.6	10698.15	10149.5	138.65	125.2	3560.4
62	643.4	1801.5999999999997	3832.0	6234.1	74.3	1583.55	3829.4	1075.1	494.8	62412.9	4893.1	1786.0500000000002	11514.3	6397.4	2401.0	23440.7	1512.1	5231.85	8261.3	161.1	123.2	2822.8
63	1018.0	1995.2500000000002	4857.1	9124.0	72.4	1569.6	3708.15	681.1	500.3	53581.7	6131.2	1990.35	12541.800000000001	6783.1	2715.5	21944.9	1515.3	5295.450000000001	8789.8	177.39999999999998	122.7	3434.1
64	1050.2	1753.625	4369.5	5086.8	73.9	1682.85	3458.45	694.1999999999999	497.3	54804.9	5008.4	1906.95	13562.25	6348.5	2884.1	22098.7	1209.0	4098.2	9469.3	168.45	120.7	3296.3
65	1780.3	2171.6	6921.2	5435.2	76.6	2555.55	2891.45	672.95	475.2	53717.8	3210.4	1700.7	8936.800000000001	7453.8	3290.6	21958.3	1783.5	1599.2	9471.3	116.30000000000001	114.4	3403.7
