	BMAL1 (ARNTL)	CLOCK	CRY1	DEC1 (BHLHB2)	NPAS2	RORC	PPP2R5E	PER2	PER1	PPP1CC	CSNK2A1	CSNK2A2	NR1D2	PPP2R1A	PPP2R1B	NONO	NFIL3	DBP	RORA	PER3	NR1D1	FBXL3	HSP90AA1	KAT2B	HLF	CREBBP	CREM	TEF	DNMT3A	DNMT3B	HCFC1	MCC	NME1	PXN	PSPC1	RBBP5	NCOA2	NCOA1	SP1	CUL4B	CUL4A	NCOR1
18	3154.0	1926.75	9772.3	11216.6	67.1	4516.450000000001	3419.85	1065.95	471.7	54278.4	6252.5	3032.3	6596.5	14505.8	4340.9	20898.9	4148.9	1630.15	13127.0	243.45	110.8	3423.9	76932.09999999999	30365.4	1003.7	2512.9	3005.8500000000004	3506.3333333333335	138.3	350.6	2067.7	3142.6	34318.3	6191.5	566.4	2343.8	6485.3	1329.5	8267.3	2102.2	6793.6	11065.1
19	4113.3	2102.3	11662.4	11929.4	85.8	2929.1	3204.6000000000004	461.65000000000003	492.9	61252.7	7051.3	3287.95	6255.450000000001	14977.1	4510.8	22457.0	4317.8	1311.3999999999999	15407.1	133.2	111.1	4354.0	74818.6	34189.3	962.9	2288.4	3670.65	2837.7000000000003	139.7	236.1	2071.8	3466.7	40348.0	5707.5	481.0	2239.1	6484.1	1140.3	7512.4	2266.1	6199.9	11040.849999999999
20	3470.5	2541.725	10140.0	9554.4	72.6	3459.0	3206.35	299.2	474.7	54366.5	7095.8	2860.7	5244.35	14136.1	4147.8	22816.3	5089.7	1002.5	17246.7	131.15	111.0	4723.6	76835.09999999999	33627.4	811.8	2490.2	3881.55	2756.8333333333335	135.7	280.2	1779.9	3839.9	38018.6	5395.7	393.1	2137.8	6810.2	1195.3	8722.6	2129.8	6101.9	9847.5
21	4860.3	2284.5	11540.6	11547.7	123.8	3779.3	3024.05	203.15	556.2	57736.1	6931.3	2939.7	4764.65	14304.6	5257.2	23380.9	4628.5	717.4	16926.2	125.15	120.7	4727.4	59905.033333333326	36131.0	857.9	2218.0	3935.0	2175.6	137.1	359.2	1702.8	5014.4	34550.6	5675.0	522.9	2352.2	6190.9	1259.6	9283.1	2586.5	5948.2	11204.900000000001
22	4246.7	2197.05	8737.1	9691.3	164.1	3478.8500000000004	2917.95	244.60000000000002	480.5	56913.5	7232.7	3642.95	3791.6000000000004	15795.0	4662.7	22843.0	5392.3	597.9	12613.5	105.75	118.3	4455.8	50583.966666666674	33269.4	705.8	3483.1	4138.3	2105.2999999999997	164.4	754.8	2419.6	3571.9	39327.6	5983.1	451.2	2657.4	6399.9	1327.1	10151.3	1840.0	5458.8	11517.9
23	5206.7	2984.775	10106.8	14431.5	486.9	2063.1	3383.9	282.7	444.5	58923.6	7419.9	3535.7	2284.0	15786.6	4617.6	22486.7	4002.9	318.34999999999997	10714.3	75.44999999999999	120.6	3392.5	50266.1	37094.9	773.6	3469.1	3716.6	1483.4333333333334	144.3	687.5	2694.8	3648.7	34658.7	6319.1	541.6	3062.0	8041.7	1416.2	8578.0	1606.6	6499.5	13593.400000000001
24	4209.0	3024.95	9035.8	5672.1	595.5	1742.45	3180.9	249.35	415.4	59187.3	6368.1	3360.5	1919.3	15970.3	4561.1	23141.1	5287.7	229.7	9554.9	81.45	110.3	3015.6	51279.9	35498.4	868.0	2491.8	2883.5	963.4	154.1	623.0	2449.9	2654.0	33119.5	6495.1	634.9	2752.7	7715.1	1518.3	8488.3	2126.2	6308.4	13251.9
25	5264.8	2430.625	6777.9	2835.5	397.3	1329.4	3267.25	133.55	491.0	57633.5	6502.1	3181.7	1816.1	16661.7	4253.9	22286.2	5842.4	222.95	9867.4	79.35	121.7	3167.1	52280.86666666666	33066.4	660.5	1715.0	3384.65	585.6666666666666	140.2	401.5	1626.1	3170.9	35578.8	5847.9	678.7	2429.2	7031.7	1352.2	7359.6	2168.4	6431.8	9822.2
26	4122.4	2978.25	5963.3	3147.5	745.2	1311.25	3303.6499999999996	240.05	440.4	60570.6	7242.7	4396.75	6663.75	19033.9	4593.3	23954.9	8427.3	398.1	11076.3	71.35	429.5	4425.4	62491.46666666667	38247.3	730.3	4114.8	2318.65	1130.8333333333333	190.5	559.8	3237.6	3505.7	34881.0	7264.5	602.6	2657.4	8761.0	1983.2	9883.3	1831.3	5676.1	13523.5
27	2453.7	2708.725	3174.0	5091.8	393.8	1185.9	2975.2	156.25	187.8	67760.8	7827.7	4785.55	13098.45	19664.4	5379.8	25399.6	4673.8	2185.9	8871.2	124.45	1279.1	3805.1	45549.96666666667	42432.9	713.0	4661.1	2635.25	2386.5	268.8	725.8	3240.1	3751.2	31524.5	7390.9	713.0	2344.0	11077.8	2066.6	10180.8	2141.5	5736.1	16303.15
28	1978.9	2619.6000000000004	1526.2	3584.7	102.1	990.65	2505.75	128.7	290.3	66867.6	7752.4	3029.4	17023.25	14167.8	4327.4	25265.8	3035.2	4957.849999999999	10389.8	102.30000000000001	865.8	4587.2	52295.26666666666	36466.6	637.3	2829.3	3542.2	2491.6666666666665	175.2	288.5	2012.7	3396.3	37054.6	6711.1	618.3	2480.1	7870.6	1679.4	9158.7	2101.1	5854.2	11738.7
