	BMAL1 (ARNTL)	CLOCK	CRY1	CRY2	CSNK2B	DEC1 (BHLHB2)	NPAS2	CIPC (KIAA1737)	RORC	DEC2 (BHLHB3)	PPP2R5D	PPP2R5E	PER2	PER1	CSNK1E	PPP1CC	CSNK2A1	CSNK2A2	NR1D2	EZH2	FBXL15	PPP1CA	PPP1CB	PPP2R1A	PPP2R1B	GSK3B	FBXW11	NONO	WDR5	CSNK1D	PPP2CA	RORB	NFIL3	RASD1	PRKACA	BMAL2 (ARNTL2)	DBP	RORA	PPP2CB	PER3	TIMELESS (TIM)	PPP5C	PRKCA	BTRC	NR1D1	FBXL3
18	3154.0	1926.7499999999998	9772.3	2704.3	24271.3	11216.6	60.75	3210.066666666667	4516.450000000001	50.849999999999994	854.1	5370.0599999999995	733.6333333333333	471.7	89.66666666666667	29177.25	2382.9666666666667	1454.1166666666668	6596.5	305.1	362.5	24274.3	17654.875	14203.0	4340.9	1532.3499999999997	8312.98	6717.974999999999	1783.1	5938.4	12544.233333333332	69.93333333333334	4148.9	47.5	7323.55	55.050000000000004	1630.15	4785.411111111111	2823.25	167.41666666666666	52.75	2737.466666666667	90.63333333333333	374.02000000000004	110.8	1799.6999999999998
19	4113.3	2102.3	11662.4	2643.1	22488.3	11929.4	70.15	3271.2999999999997	2929.1	51.55	853.3	5145.64	331.6	492.9	98.53333333333335	32722.899999999998	2374.633333333333	1528.8333333333333	6255.450000000001	309.9	394.9	24112.6	16737.775	14624.380000000001	4510.8	1439.8999999999999	9913.039999999999	7285.349999999999	1558.3000000000002	6266.24	13072.566666666668	68.60000000000001	4317.8	48.0	5944.25	54.85	1311.3999999999999	5324.933333333333	3025.85	112.51666666666667	53.400000000000006	2550.1	87.5	352.62	111.1	2352.9333333333334
20	3470.5	2541.725	10140.0	2366.5	23279.2	9554.4	63.15	2715.9333333333334	3459.0	51.3	826.6	5264.9800000000005	217.76666666666665	474.7	94.39999999999999	29394.75	2484.5333333333333	1384.5833333333333	5244.35	294.0	555.1	25610.3	17812.775	13617.420000000002	4147.8	1412.25	9054.499999999998	7101.999999999999	1685.6	5870.22	12513.200000000003	69.46666666666665	5089.7	47.7	6399.2	56.0	1002.5	6040.644444444444	3119.3	109.53333333333335	53.3	2806.066666666667	95.23333333333333	336.92	111.0	2499.8
21	4860.3	2284.5	11540.6	2208.3	22350.8	11547.7	89.1	2856.266666666667	3779.3	51.7	807.5	4688.26	153.63333333333335	556.2	88.66666666666667	31122.7	2447.0	1497.6000000000001	4764.65	287.2	322.5	25154.3	18158.05	13787.480000000001	5257.2	1213.6666666666667	8057.0599999999995	7322.225	1772.2	6215.679999999999	12255.300000000001	70.5	4628.5	48.1	6252.35	55.099999999999994	717.4	5857.81111111111	2982.05	118.60000000000001	53.599999999999994	2476.5	88.03333333333335	368.30000000000007	120.7	2526.1666666666665
22	4246.7	2197.05	8737.1	2336.2	24476.2	9691.3	116.75	3106.933333333333	3478.8500000000004	51.6	876.4	4578.539999999999	180.86666666666667	480.5	91.26666666666667	30687.15	2552.233333333333	1670.0	3791.6000000000004	317.0	411.4	26278.0	17419.100000000002	16257.62	4662.7	1449.2	9006.18	7171.2	1912.6	5999.64	12269.199999999999	69.3	5392.3	47.2	6812.35	66.15	597.9	5066.655555555555	3029.0	109.21666666666668	51.95	2650.933333333333	85.2	359.41999999999996	118.3	2219.2999999999997
23	5206.7	2984.7749999999996	10106.8	1495.0	21077.9	14431.5	273.45	3503.7666666666664	2063.1	51.599999999999994	886.4	5325.640000000001	206.73333333333332	444.5	87.76666666666667	31407.35	2647.5333333333333	1724.4333333333332	2284.0	287.8	325.1	25635.0	18489.475000000002	15365.64	4617.6	1410.8999999999996	9589.500000000002	7179.575	1956.55	5766.360000000001	12569.266666666665	70.86666666666666	4002.9	48.0	8482.15	56.050000000000004	318.34999999999997	4670.322222222222	2967.7000000000003	101.86666666666666	53.25	2583.4666666666667	85.33333333333333	347.56	120.6	1660.5333333333335
24	4209.0	3024.95	9035.8	1571.9	18864.3	5672.1	327.85	3404.433333333333	1742.45	50.35	787.3	5310.12	184.19999999999996	415.4	94.03333333333335	31352.350000000002	2465.9500000000003	1529.9166666666667	1919.3	318.5	345.8	22733.7	20520.275	16143.62	4561.1	1401.95	10183.38	7403.575000000001	1881.7	6137.04	12832.266666666668	69.86666666666666	5287.7	47.6	8119.25	54.55	229.7	3974.4000000000005	2752.25	92.61666666666667	62.65	2171.7999999999997	74.3	357.5	110.3	1471.3666666666666
25	5264.8	2430.625	6777.9	1187.9	20034.4	2835.5	237.25	2719.133333333333	1329.4	52.5	850.0	5032.58	107.39999999999999	491.0	94.73333333333333	30778.6	2205.7166666666667	1458.6166666666668	1816.1	310.8	323.4	25383.7	20934.2	16310.34	4253.9	1081.65	10164.2	7277.900000000001	1621.85	5852.3	12878.966666666667	72.56666666666666	5842.4	48.9	8220.15	57.7	222.95	3485.355555555556	2954.3500000000004	104.48333333333333	54.099999999999994	2315.7999999999997	103.8	342.1	121.7	1702.3333333333333
26	4122.4	2978.25	5963.3	2208.5	20146.6	3147.5	424.05	3129.2666666666664	1311.25	50.5	1095.7	6193.5599999999995	178.16666666666666	440.4	82.23333333333333	31537.25	2816.6499999999996	1958.6166666666668	6663.75	300.8	403.5	23029.6	17435.6	18973.139999999996	4593.3	1868.05	11215.2	7704.075000000001	2012.85	5986.18	13317.466666666665	68.66666666666667	8427.3	46.2	8608.65	54.4	398.1	5764.066666666666	2773.35	86.41666666666667	52.5	2897.466666666667	98.2	356.94	429.5	1875.1666666666663
27	2453.7	2708.7250000000004	3174.0	2167.1	20001.9	5091.8	224.4	2832.0333333333333	1185.9	50.150000000000006	993.7	5763.099999999999	122.06666666666668	187.8	86.0	35459.15	2957.333333333334	2159.6666666666665	13098.45	409.9	321.2	21247.6	16678.675	19118.879999999997	5379.8	1728.2333333333336	10563.079999999998	8123.899999999999	2176.15	5460.820000000001	12979.199999999999	69.23333333333333	4673.8	46.8	8461.4	54.45	2185.9	5340.2555555555555	2756.45	118.31666666666666	52.85	2674.1	145.16666666666666	355.85999999999996	1279.1	1766.0666666666666
