	BMAL1 (ARNTL)	CLOCK	CRY1	CRY2	CSNK2B	DEC1 (BHLHB2)	NPAS2	CIPC (KIAA1737)	RORC	DEC2 (BHLHB3)	PPP2R5D	PPP2R5E	PER2	PER1	CSNK1E	PPP1CC	CSNK2A1	CSNK2A2	NR1D2	EZH2	FBXL15	PPP1CA	PPP1CB	PPP2R1A	PPP2R1B	GSK3B	FBXW11	NONO	WDR5	CSNK1D	PPP2CA	RORB	NFIL3	RASD1	PRKACA	BMAL2 (ARNTL2)	DBP	RORA	PPP2CB	PER3	TIMELESS (TIM)	PPP5C	PRKCA	BTRC	NR1D1	FBXL3	NR0B1	AHR	AKT1	AR	EP300	EPAS1	HIF1A	HSP90AA1	KAT2B	HLF	NPAS4	ATRX	CA2	CEBPA	CEBPG	CHD4	CHEK1	CREBBP	CREM	TEF	DDB1	DDIT3	DNMT1	DNMT3A	DNMT3B	DR1	ATN1	E2F6	HDAC1	HDAC2	PML	RARA	VAV1	EED	SUZ12	POLA2	PHF1	GNAI1	GNAI2	GNB1	HCFC1	MCC	MEN1	MLL	MYC	MYOD1	BATF	CREB3L1	CREB3	NME1	NME2	PCNA	POLR2A	PXN	SFPQ	SPI1	VCL	PSPC1	NOS1	RXRA	NCOA3	GPRASP1	MED1	PSMC5	RBBP5	NCOA2	LMO3	NCOA1	NRIP2	SP1	STAT3	UBE2I	CUL4B	CUL4A	TREX1	TIPIN	ASH2L	WDR57	NCOR1	NCOR2	NR2E3	NOS1AP	NCOA5	PASK	HCFC2	DTL	GRWD1
18	3154.0	1926.75	9772.3	2704.3	24271.3	11216.6	60.75	3210.066666666666	4516.450000000001	50.849999999999994	854.1	5370.06	733.6333333333333	471.7	89.66666666666667	29177.25	2382.9666666666667	1454.1166666666666	6596.5	305.1	362.5	24274.3	17654.875	14203.0	4340.9	1532.3499999999997	8312.98	6717.974999999999	1783.1	5938.4	12544.233333333332	69.93333333333334	4148.9	47.5	7323.55	55.050000000000004	1630.15	4785.411111111111	2823.25	167.41666666666666	52.75	2737.4666666666667	90.63333333333333	374.02000000000004	110.8	1799.7	60.3	6859.650000000001	925.0750000000002	179.53333333333333	1049.3	14333.199999999999	3842.075	46182.7	10966.266666666668	3088.35	55.0	2158.742857142857	1284.0	16774.5	3243.2333333333336	2788.2666666666664	73.82000000000001	1478.8000000000002	1554.25	3506.3333333333335	11474.5	652.95	509.96666666666664	134.11999999999998	215.8	2126.7	56.2	712.1	4613.3	2537.266666666667	241.33333333333334	62.3	86.4	3737.65	1916.8400000000001	141.6	238.0	135.23333333333332	6869.65	3150.8333333333335	924.8333333333334	830.925	843.6333333333333	234.3	476.0	42.1	99.4	37.7	3575.325	25874.9	215724.4	20381.8	176.85	2357.6666666666665	3736.0166666666664	101.7	5411.1	309.5	68.3	3562.066666666666	766.0	67.44999999999999	1045.3	17746.1	2343.8	2075.775	49.8	1085.2333333333333	95.03333333333335	4924.0	3119.0750000000003	2347.9000000000005	1875.55	6793.6	983.5	2308.1	952.6500000000001	1353.05	4552.499999999999	467.3	51.9	74.1	88.5	62.6	924.4	59.54999999999999	947.2666666666668
19	4113.3	2102.3	11662.4	2643.1	22488.3	11929.4	70.15	3271.2999999999997	2929.1	51.55	853.3	5145.640000000001	331.6	492.9	98.53333333333335	32722.899999999998	2374.6333333333337	1528.8333333333333	6255.450000000001	309.9	394.9	24112.6	16737.775	14624.380000000001	4510.8	1439.8999999999999	9913.039999999999	7285.349999999999	1558.3000000000002	6266.24	13072.566666666668	68.6	4317.8	48.0	5944.25	54.85	1311.3999999999999	5324.933333333333	3025.85	112.51666666666667	53.400000000000006	2550.1	87.5	352.62	111.1	2352.9333333333334	60.8	6652.349999999999	785.475	187.20000000000002	917.7	13219.8	3795.175	44915.42	12320.1	2482.75	55.6	2309.1142857142854	1286.9	14557.4	3167.0	3219.433333333333	74.3	1475.625	1883.8750000000002	2837.7000000000003	8085.5	675.5500000000001	492.8666666666666	108.55999999999999	151.25	2134.7	55.3	717.55	4122.2	2521.266666666667	308.5	63.0	107.55000000000001	3907.65	1923.8799999999999	127.16666666666667	182.0	201.1	6767.75	3104.8333333333335	908.3666666666668	912.8499999999999	817.3000000000001	219.55	863.2	42.400000000000006	100.8	37.5	3976.1000000000004	29341.0	228795.4	23359.7	145.95	2188.7000000000003	3526.933333333333	102.0	4498.55	267.15	70.475	3492.4	661.7	65.3	948.7714285714286	18718.0	2239.1	2009.5000000000002	49.6	1070.7	90.43333333333332	4688.766666666666	3458.625	2264.9	2226.1499999999996	6199.9	986.9	2877.1	1268.3999999999999	1346.3999999999999	4469.183333333333	446.29999999999995	52.5	73.95	114.9	66.9	1061.1000000000001	60.333333333333336	755.5666666666667
20	3470.5	2541.725	10140.0	2366.5	23279.2	9554.4	63.15	2715.9333333333334	3459.0	51.3	826.6	5264.9800000000005	217.76666666666665	474.7	94.39999999999999	29394.75	2484.5333333333333	1384.5833333333333	5244.35	294.0	555.1	25610.3	17812.775	13617.419999999998	4147.8	1412.25	9054.499999999998	7101.999999999999	1685.6	5870.22	12513.199999999999	69.46666666666665	5089.7	47.7	6399.2	56.0	1002.5	6040.644444444445	3119.3	109.53333333333335	53.3	2806.066666666667	95.23333333333333	336.92	111.0	2499.7999999999997	61.3	7330.2	907.6	188.96666666666667	941.1	12342.35	3373.125	46126.36	12244.133333333333	2686.7000000000003	55.2	2083.557142857143	1370.8	17500.7	3170.133333333333	2944.866666666667	73.91999999999999	1407.1499999999999	1999.8500000000001	2756.8333333333335	9608.2	599.7	459.4666666666667	104.32000000000001	176.0	2398.35	55.8	822.8	3840.5	2403.633333333333	235.4	61.2	108.14999999999999	3676.75	2071.3599999999997	152.89999999999998	237.8	211.4	6472.35	3303.433333333333	808.0666666666666	1005.7750000000001	828.5333333333333	229.3	698.5	42.25	97.7	37.4	3954.1749999999997	28216.6	232116.6	23793.7	146.8	2069.3666666666663	3020.1	102.0	3988.8999999999996	223.10000000000002	69.775	3811.4666666666667	607.2	64.6	871.9571428571431	18873.6	2137.8	2215.9249999999997	49.8	1059.8	75.89999999999999	5299.933333333333	3396.275	2043.7714285714285	2111.8	6101.9	984.9	2672.6	1189.9499999999998	1113.3	4095.4166666666665	401.79999999999995	52.8	73.25	71.0	74.4	1065.1333333333332	59.68333333333333	671.5666666666667
21	4860.3	2284.5	11540.6	2208.3	22350.8	11547.7	89.1	2856.2666666666664	3779.3	51.7	807.5	4688.26	153.63333333333333	556.2	88.66666666666667	31122.7	2446.9999999999995	1497.6000000000001	4764.65	287.2	322.5	25154.3	18158.05	13787.48	5257.2	1213.6666666666667	8057.0599999999995	7322.225	1772.2	6215.68	12255.299999999997	70.5	4628.5	48.1	6252.35	55.099999999999994	717.4	5857.81111111111	2982.05	118.60000000000002	53.599999999999994	2476.5000000000005	88.03333333333335	368.30000000000007	120.7	2526.1666666666665	61.1	8273.7	737.9	188.13333333333333	842.4	12130.25	3793.175	35967.119999999995	13073.333333333334	2318.75	55.8	2150.7	1586.0	13851.6	2937.7666666666664	2175.8333333333335	74.92	1238.275	2017.95	2175.6	8834.3	599.25	467.4666666666667	106.58000000000001	214.64999999999998	2603.3	56.7	665.0	4314.0	2367.366666666667	289.53333333333336	63.8	77.9	4090.15	1884.8800000000003	124.43333333333332	221.6	190.73333333333335	5911.35	3068.1666666666665	783.7666666666668	1299.55	754.7666666666668	284.20000000000005	858.1	42.45	99.8	38.1	3744.025	26521.25	223204.4	22368.9	151.55	2173.9333333333334	2976.7666666666664	102.3	3866.7000000000003	288.15	69.675	3613.8666666666663	473.8	65.65	942.7857142857143	18125.7	2352.2	1998.25	49.6	960.3333333333334	93.56666666666666	5606.366666666666	3640.6500000000005	2156.7	2395.45	5948.2	991.7	2775.8	943.1999999999999	1223.95	4536.316666666667	359.35	52.5	74.2	71.3	67.2	954.2666666666668	60.466666666666676	714.2000000000002
22	4246.7	2197.05	8737.1	2336.2	24476.2	9691.3	116.75	3106.933333333333	3478.8500000000004	51.6	876.4	4578.539999999999	180.86666666666667	480.5	91.26666666666667	30687.15	2552.233333333333	1670.0	3791.6000000000004	317.0	411.4	26278.0	17419.100000000002	16257.62	4662.7	1449.2	9006.18	7171.2	1912.6	5999.639999999999	12269.199999999999	69.3	5392.3	47.2	6812.35	66.15	597.9	5066.655555555556	3029.0	109.21666666666665	51.95	2650.933333333333	85.2	359.41999999999996	118.3	2219.2999999999997	58.3	5599.2	865.6750000000001	191.70000000000002	1128.0	13780.050000000001	3588.2250000000004	30373.180000000004	11939.833333333334	2527.9500000000003	53.7	1926.6142857142856	1417.9	20126.6	3105.9	3487.433333333333	70.66	1834.125	2113.9249999999997	2105.2999999999997	10917.2	503.95	434.1666666666667	123.0	434.4	1778.9	67.7	679.3000000000001	4175.2	2323.933333333333	318.0	59.3	84.35	4001.4500000000003	2027.2399999999998	128.83333333333334	299.9	226.1	7422.450000000001	3094.9	1041.2666666666667	937.475	836.3666666666668	451.95	928.9	41.35	99.9	37.5	3584.775	28350.9	228848.2	20234.2	211.60000000000002	2282.866666666667	3140.0	100.4	4175.95	252.04999999999998	67.375	4651.033333333333	993.1	68.6	1107.9	18836.5	2657.4	1990.975	48.0	1123.3999999999999	117.93333333333332	5566.2	4419.049999999999	2300.5142857142855	2006.1	5458.8	970.2	2782.0	1112.25	1299.05	5044.266666666666	507.5	50.7	82.94999999999999	104.7	71.6	985.8333333333334	57.75	835.1666666666666
23	5206.7	2984.775	10106.8	1495.0	21077.9	14431.5	273.45	3503.7666666666664	2063.1	51.599999999999994	886.4	5325.640000000001	206.73333333333335	444.5	87.76666666666667	31407.35	2647.5333333333333	1724.4333333333336	2284.0	287.8	325.1	25635.0	18489.475000000002	15365.640000000003	4617.6	1410.8999999999999	9589.500000000002	7179.575	1956.55	5766.360000000001	12569.266666666668	70.86666666666666	4002.9	48.0	8482.15	56.050000000000004	318.34999999999997	4670.322222222222	2967.7000000000003	101.86666666666666	53.25	2583.4666666666667	85.33333333333333	347.56	120.6	1660.5333333333335	61.0	7606.65	827.2	187.63333333333333	1379.2	13562.3	3750.275	30183.46	13216.199999999999	2673.8	55.1	2341.657142857143	1124.5	18372.4	2935.566666666667	3528.1	74.88000000000001	1723.625	1909.875	1483.4333333333334	9524.9	991.1999999999999	502.03333333333336	113.62	500.15	2382.65	57.2	666.75	4138.6	2696.3333333333335	264.59999999999997	62.9	75.19999999999999	4435.8	2084.4800000000005	123.96666666666665	390.9	213.73333333333335	6189.6	3394.433333333333	1114.5666666666668	957.85	833.7666666666668	447.25	741.6	42.25	97.4	38.2	3500.475	26901.25	225240.4	17594.5	200.35000000000002	2477.9	4096.95	102.3	3777.75	297.55	85.35	3869.8999999999996	623.5	72.05000000000001	1188.457142857143	17210.9	3062.0	2400.775	49.6	1116.4333333333334	103.39999999999999	4842.933333333333	4107.15	2420.828571428571	1827.1999999999998	6499.5	990.6	2201.1	1017.55	1375.75	5642.083333333335	502.29999999999995	53.0	83.4	97.7	65.1	1042.1666666666667	60.68333333333334	816.3333333333334
24	4209.0	3024.95	9035.8	1571.9	18864.3	5672.1	327.85	3404.433333333333	1742.45	50.35	787.3	5310.12	184.20000000000002	415.4	94.03333333333335	31352.350000000002	2465.9500000000003	1529.9166666666667	1919.3	318.5	345.8	22733.7	20520.275	16143.619999999999	4561.1	1401.95	10183.38	7403.575000000001	1881.7	6137.04	12832.266666666668	69.86666666666666	5287.7	47.6	8119.25	54.55	229.7	3974.4000000000005	2752.25	92.61666666666667	62.65	2171.7999999999997	74.3	357.5	110.3	1471.3666666666668	59.4	8770.349999999999	763.35	169.33333333333334	1102.4	12071.35	3504.1	30791.340000000004	12643.699999999999	2694.6	54.4	2254.014285714286	1388.3	16131.0	2704.633333333333	3513.1666666666665	71.54	1252.075	1490.325	963.4	8857.1	949.9	418.99999999999994	109.7	377.05	2292.85	54.9	732.8	3447.2	2633.4333333333334	309.06666666666666	60.6	94.85	4406.55	1695.1	126.13333333333334	276.6	241.9	6576.45	2749.3666666666663	1028.7666666666667	708.25	806.0	344.0	399.0	41.849999999999994	95.7	37.6	3725.0000000000005	26843.85	233903.5	18692.3	247.55	2507.9666666666667	3611.033333333333	101.2	3879.7	343.59999999999997	68.5	3731.566666666666	668.6	79.85	1088.685714285714	16639.7	2752.7	2350.8500000000004	48.6	1041.6333333333334	99.89999999999999	4913.766666666666	3319.6749999999997	2285.2	1999.8	6308.4	1010.7	3042.8	903.0500000000001	1995.75	5393.7	455.85	52.4	73.8	128.4	64.7	1233.2	60.03333333333333	851.8333333333334
25	5264.8	2430.625	6777.9	1187.9	20034.4	2835.5	237.25	2719.133333333333	1329.4	52.5	850.0	5032.58	107.39999999999999	491.0	94.73333333333333	30778.6	2205.7166666666667	1458.6166666666666	1816.1	310.8	323.4	25383.7	20934.2	16310.340000000002	4253.9	1081.65	10164.2	7277.900000000001	1621.85	5852.3	12878.966666666667	72.56666666666666	5842.4	48.9	8220.15	57.7	222.95	3485.3555555555554	2954.3500000000004	104.48333333333333	54.099999999999994	2315.7999999999997	103.8	342.1	121.7	1702.3333333333333	62.7	9406.7	713.775	148.23333333333332	963.4	9687.050000000001	3143.85	31393.8	11934.300000000001	1781.9	56.2	1865.2571428571428	1454.8	13817.5	2578.9666666666667	2502.2666666666664	76.54	925.1999999999999	1746.325	585.6666666666666	7038.6	989.75	474.23333333333335	107.42	243.15	3030.8	56.8	536.95	4200.3	2634.3666666666663	216.23333333333335	64.3	101.65	4302.9	1576.06	127.53333333333335	226.6	270.8333333333333	6931.8	2571.4666666666667	799.8333333333334	839.575	867.6999999999999	229.65	314.5	43.0	108.5	38.4	4140.4	27652.050000000003	226973.2	19705.4	178.65	2140.9999999999995	3299.6666666666665	108.6	3178.9	366.6	76.375	2887.933333333333	515.35	66.4	951.757142857143	14924.9	2429.2	2110.2000000000003	50.6	949.3000000000001	96.63333333333333	4380.033333333334	2658.8250000000003	2231.985714285714	2037.9	6431.8	1000.3	2505.8	1002.5	2348.85	3942.933333333334	412.3	53.5	70.4	85.4	67.1	1162.3999999999999	61.71666666666667	1009.7333333333335
26	4122.4	2978.25	5963.3	2208.5	20146.6	3147.5	424.05	3129.2666666666664	1311.25	50.5	1095.7	6193.56	178.16666666666666	440.4	82.23333333333333	31537.25	2816.65	1958.6166666666666	6663.75	300.8	403.5	23029.6	17435.6	18973.14	4593.3	1868.05	11215.2	7704.075000000001	2012.85	5986.18	13317.466666666665	68.66666666666667	8427.3	46.2	8608.65	54.4	398.1	5764.066666666667	2773.35	86.41666666666667	52.5	2897.4666666666667	98.2	356.94	429.5	1875.1666666666667	59.7	9545.0	827.425	158.1	1296.6	12917.7	3573.5249999999996	37517.740000000005	13535.266666666668	2784.4	53.0	2170.0714285714284	1362.5	20368.3	2655.7999999999997	3573.9	71.44000000000001	2098.125	1204.525	1130.8333333333333	10390.7	796.7	656.9	146.44	380.34999999999997	1828.5500000000002	64.2	698.75	4200.9	2797.366666666667	352.5	59.2	80.85	3628.8500000000004	1965.6	124.80000000000001	356.4	236.99999999999997	8164.5	3285.1666666666665	1278.5333333333333	920.475	1057.7	620.85	729.8	41.25	97.4	37.4	4174.175	26434.0	242005.9	15514.2	345.55	2890.8333333333335	3471.1166666666663	100.2	4262.4	327.1	68.125	4780.366666666667	899.8499999999999	64.0	1319.685714285714	17925.8	2657.4	2703.925	49.0	1501.8	84.13333333333333	5708.599999999999	4198.525000000001	2317.2	1878.05	5676.1	967.9	2623.1	840.5	1471.35	5799.166666666667	785.2	50.6	71.25	135.2	72.7	1083.3333333333333	58.449999999999996	811.5333333333333
27	2453.7	2708.725	3174.0	2167.1	20001.9	5091.8	224.4	2832.0333333333333	1185.9	50.150000000000006	993.7	5763.1	122.06666666666668	187.8	86.0	35459.15	2957.333333333334	2159.666666666667	13098.45	409.9	321.2	21247.6	16678.675	19118.88	5379.8	1728.2333333333333	10563.079999999998	8123.899999999999	2176.15	5460.820000000001	12979.199999999999	69.23333333333333	4673.8	46.8	8461.4	54.45	2185.9	5340.2555555555555	2756.45	118.31666666666668	52.85	2674.1	145.16666666666666	355.85999999999996	1279.1	1766.0666666666666	59.5	7080.849999999999	833.6999999999999	318.03333333333336	1328.4	13348.550000000001	3840.25	27353.18	14979.766666666668	3120.75	54.9	2374.928571428572	1161.6	24495.6	2666.133333333333	4108.099999999999	71.22	2406.1499999999996	1370.55	2386.5	10919.5	609.3499999999999	560.5	195.4	399.84999999999997	2076.1	65.7	553.0	4079.3	3273.7333333333336	369.6333333333334	61.4	84.55000000000001	4036.8	2145.0	125.53333333333335	478.7	215.30000000000004	7210.15	3300.1666666666665	1291.0333333333333	982.55	855.4666666666667	528.5	348.0	41.5	94.1	37.5	3968.65	24828.15	203605.2	13801.7	430.25	2869.4666666666667	3935.2000000000007	100.9	3901.7	386.5	67.65	5943.466666666666	887.45	114.3	1161.9142857142856	21553.4	2344.0	3334.7249999999995	49.3	1734.7333333333333	97.53333333333335	6224.099999999999	5236.375	2617.4285714285716	1881.15	5736.1	972.6	2751.7	1132.75	1318.85	6791.533333333333	863.1999999999999	52.2	76.0	98.6	66.2	1027.9333333333334	61.283333333333324	682.5666666666666
